Move,Move type,Damage,Counts as (hits),Next hit,Scaling route,Next move scaling,Immediate scaling,Min scaling,Counter multiplier,Punish multiplier,Counter Hit,Punish Counter,Super gain,Drive gain,Visible?
5LP,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,250,Yes
5MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,2000,Yes
5HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
5LK,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,250,Yes
5MK,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,700,2000,Yes
5HK,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,3000,Yes
2LP,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,250,Yes
2MP,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,500,1500,Yes
2HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,4000,Yes
2LK,Normal,200,1,None,1,0,0,0,1.2,1.2,240,240,300,250,Yes
2MK,Normal,500,1,None,1,0,0,0,1.2,1.2,600,600,600,1000,Yes
2HK,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes
8LP,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1000,Yes
7 or 9HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
8LK,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,1000,2000,Yes
8MK,Normal,500,1,None,1,0,0,0,1.2,1.2,600,600,300,500,Yes
8HK,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,500,1000,Yes
8HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
6MP,Command Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,500,1500,Yes
6MK,Command Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,500,2000,Yes
4MK,Command Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,500,1500,Yes
6HP,Command Normal,1100,1,None,1,0,0,0,1.2,1.2,1320,1320,1000,3000,Yes
3HP,Command Normal,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
2PP,Special,0,1,None,1,0,0,0,1.2,1.2,0,0,0,0,Yes
2PP > P,Special,600,1,None,1,0,0,0,1.2,1.2,720,720,500,1000,Yes
2PP > K,Special,0,1,None,1,0,0,0,1.2,1.2,0,0,0,0,Yes
4 or 6KKK,Special,0,1,None,1,0,0,0,1.2,1.2,0,0,0,0,Yes
214P,Special,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
46LP,Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
46MP,Special,1200,1,None,1,0,0,0,1.2,1.2,1440,1440,1000,2000,Yes
46HP,Special,1300,1,None,1,0,0,0,1.2,1.2,1560,1560,1000,2000,Yes
46P (air),Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
28LK,Special,1200,1,None,1,0,0,0,1.2,1.2,1440,1440,1000,2000,Yes
28MK,Special,1300,1,None,1,0,0,0,1.2,1.2,1560,1560,1000,2000,Yes
28HK,Special,1400,1,None,1,0,0,0,1.2,1.2,1680,1680,1000,2000,Yes
63214LK,Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
63214MK,Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
63214HK,Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
236LK,Special,1600,1,None,1,0,0,0,1,1.15,1600,1840,3000,5000,Yes
236MK,Special,1700,1,None,1,0,0,0,1,1.15,1700,1955,3000,5000,Yes
