Move,Move type,Damage,Counts as (hits),Next hit,Scaling route,Next move scaling,Immediate scaling,Min scaling,Counter multiplier,Punish multiplier,Counter Hit,Punish Counter,Super gain,Drive gain,Visible?
5LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
5MP,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,500,2000,Yes
5HP,Normal,800,1,None,0.8,0,0,0,1.2,1.2,960,960,1000,2000,Yes
5HP (delayed hit),Normal,700,1,None,0.8,0,0,0,1.2,1.2,840,840,1000,2000,Yes
5LK,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
5MK,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,700,2000,Yes
5HK,Normal,800,1,None,0.8,0,0,0,1.2,1.2,960,960,1000,3000,Yes
2LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
2MP,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,500,1500,Yes
2HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,3000,Yes
2LK,Normal,200,1,None,0.8,0,0,0,1.2,1.2,240,240,300,250,Yes
2MK,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,600,2000,Yes
2HK,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,3000,Yes
8LP,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1000,Yes
8HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
8LK,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MK,Normal,500,1,None,1,0,0,0,1.2,1.2,600,600,500,1000,Yes
8HK,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
2LK (air),Command Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,2000,Yes
6MK,Command Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,2000,Yes
4HK,Command Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
5LP > 5MK target combo,Target Combo,300,1,> 5MK (5LP > 5MK target combo),0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
5LP > 5MK > 5MK target combo,Target Combo,300,1,> 5MK (5LP > 5MK > 5MK target combo),0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
> 5MK (5LP > 5MK target combo),Target Combo,400,1,None,1,0,0,0,1.2,1.2,480,480,300,250,No
> 5MK (5LP > 5MK > 5MK target combo),Target Combo,400,1,> 5MK (5LP > 5MK > 5MK target combo end),1,0,0,0,1.2,1.2,480,480,300,250,No
> 5MK (5LP > 5MK > 5MK target combo end),Target Combo,626,1,None,1,0,0,0,1.2,1.2,751,751,400,500,No
5MP > 5MP target combo,Target Combo,600,1,> 5MP (5MP > 5MP target combo),1,0,0,0,1.2,1.2,720,720,300,2000,Yes
5MP > 5MP > 5HP target combo,Target Combo,600,1,> 5MP (5MP > 5MP > 5HP target combo),1,0,0,0,1.2,1.2,720,720,300,2000,Yes
5MP > 5MP > 4HP target combo,Target Combo,600,1,> 5MP (5MP > 5MP > 4HP target combo),1,0,0,0,1.2,1.2,720,720,300,2000,Yes
> 5MP (5MP > 5MP target combo),Target Combo,500,1,None,1,0,0,0,1.2,1.2,600,600,300,400,No
> 5MP (5MP > 5MP > 5HP target combo),Target Combo,500,1,> 5HP (5MP > 5MP > 5HP target combo),1,0,0,0,1.2,1.2,600,600,300,400,No
> 5MP (5MP > 5MP > 4HP target combo),Target Combo,500,1,> 4HP (5MP > 5MP > 4HP target combo),1,0,0,0,1.2,1.2,600,600,300,400,No
> 5HP (5MP > 5MP > 5HP target combo),Target Combo,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2500,No
> 4HP (5MP > 5MP > 4HP target combo),Target Combo,0,0,None,1,0,0,0,1.2,1.2,0,0,0,0,No
5MP > 5HP target combo,Target Combo,600,1,> 5HP (5MP > 5HP target combo),1,0,0,0,1.2,1.2,720,720,300,2000,Yes
5MP > 5HP > 5HK target combo,Target Combo,600,1,> 5HP (5MP > 5HP > 5HK target combo),1,0,0,0,1.2,1.2,720,720,300,2000,Yes
> 5HP (5MP > 5HP target combo),Target Combo,500,1,None,1,0,0,0,1.2,1.2,600,600,1000,2000,No
> 5HP (5MP > 5HP > 5HK target combo),Target Combo,500,1,> 5HK (5MP > 5HP > 5HK target combo),1,0,0,0,1.2,1.2,600,600,1000,2000,No
> 5HK (5MP > 5HP > 5HK target combo),Target Combo,600,1,None,1,0,0,0,1.2,1.2,720,720,1000,2500,No
8MP > 8HP target combo,Target Combo,700,1,> 8HP (8MP > 8HP target combo),1,0,0,0,1.2,1.2,840,840,500,1000,Yes
> 8HP (8MP > 8HP target combo),Target Combo,700,1,None,1,0,0,0,1.2,1.2,840,840,1000,2000,No
22PP,Special,0,0,None,1,0,0,0,1.2,1.2,0,0,0,0,Yes
46MP,Special,600,1,None,1,0,0,0,1.2,1.2,720,720,600,1000,Yes
46HP,Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,900,1500,Yes
28MK,Special,1100,1,None,1,0,0,0,1.2,1.2,1320,1320,1000,2000,Yes
28HK,Special,1300,1,None,1,0,0,0,1.2,1.2,1560,1560,1200,2000,Yes
236MK,Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
236HK,Special,1400,1,None,0.75,0,0,0,1.2,1.2,1680,1680,1500,2000,Yes
214LP (whiff 1st frame) (airborne opponent),Special,800,1,None,1,0,0,0,1.2,1.2,960,960,600,1000,Yes
