Move,Move type,Damage,Counts as (hits),Next hit,Scaling route,Next move scaling,Immediate scaling,Min scaling,Counter multiplier,Punish multiplier,Counter Hit,Punish Counter,Super gain,Drive gain,Visible?
5LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
5MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,2000,Yes
5HP,Normal,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,4000,Yes
5LK,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
5MK,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,500,2000,Yes
5HK,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2500,Yes
2LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
2MP,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,500,2000,Yes
2HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,3500,Yes
2LK,Normal,200,1,None,1,0,0,0,1.2,1.2,240,240,300,250,Yes
2MK,Normal,500,1,None,0.8,0,0,0,1.2,1.2,600,600,500,1000,Yes
2HK,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes
8LP,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,750,Yes
8MP,Normal,700,1,None,0.8,0,0,0,1.2,1.2,840,840,500,1500,Yes
8HP,Normal,800,1,None,0.8,0,0,0,1.2,1.2,960,960,1000,2500,Yes
8LK,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,750,Yes
8MK,Normal,500,1,None,0.8,0,0,0,1.2,1.2,600,600,500,1500,Yes
8HK,Normal,800,1,None,0.8,0,0,0,1.2,1.2,960,960,1000,2500,Yes
2LP (air),Command Normal,500,1,None,1,0,0,0,1.2,1.2,600,600,500,1500,Yes
1 or 2 or 3LK (air),Command Normal,500,1,None,0.8,0,0,0,1.2,1.2,600,600,500,1500,Yes
1 or 2 or 3MK (air),Command Normal,500,1,None,0.8,0,0,0,1.2,1.2,600,600,500,1500,Yes
1 or 2 or 3HK (air),Command Normal,500,1,None,0.8,0,0,0,1.2,1.2,600,600,500,1500,Yes
4MP,Command Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1500,Yes
4HP,Command Normal,900,1,None,0.8,0,0,0,1.2,1.2,1080,1080,1000,2500,Yes
1HP,Command Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
