Move,Move type,Damage,Counts as (hits),Next hit,Scaling route,Next move scaling,Immediate scaling,Min scaling,Counter multiplier,Punish multiplier,Counter Hit,Punish Counter,Super gain,Drive gain,Visible?
5LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
5MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,2000,Yes
5HP,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes
5LK,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
5MK,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,700,1000,Yes
5HK (1st hit only),Normal,400,1,None,1,0,0,0,1.2,1.2,480,480,400,1500,Yes
5HK,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,800,3000,Yes
2LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
2MP,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,500,1500,Yes
2HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,3000,Yes
2LK,Normal,200,1,None,1,0,0,0,1.2,1.2,240,240,300,250,Yes
2MK,Normal,500,1,None,1,0,0,0,1.2,1.2,600,600,600,2000,Yes
2HK,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,3000,Yes
8LP,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1000,Yes
7 or 9HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
8HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
8LK,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MK,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1000,Yes
8HK,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
2MK (air),Command Normal,500,1,None,1,0,0,0,1.2,1.2,600,600,500,1000,Yes
6HK,Command Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,3000,Yes
3HK,Command Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
5LP > 5MP target combo,Target Combo,300,1,> 5MP (5LP > 5MP target combo),0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
> 5MP (5LP > 5MP target combo),Target Combo,240,1,None,1,0,0,0,1.2,1.2,288,288,500,1000,No
