Move,Move type,Damage,Counts as (hits),Next hit,Scaling route,Next move scaling,Immediate scaling,Min scaling,Counter multiplier,Punish multiplier,Counter Hit,Punish Counter,Super gain,Drive gain,Visible?
5LP,Normal,270,1,None,0.8,0,0,0,1.2,1.2,324,324,300,250,Yes
5MP,Normal,540,1,None,1,0,0,0,1.2,1.2,648,648,500,1000,Yes
5HP,Normal,630,1,None,1,0,0,0,1.2,1.2,756,756,1000,2000,Yes
5LK,Normal,270,1,None,0.8,0,0,0,1.2,1.2,324,324,300,250,Yes
5MK,Normal,540,1,None,0.85,0,0,0,1.2,1.2,648,648,700,1000,Yes
5HK,Normal,630,1,None,1,0,0,0,1.2,1.2,756,756,1000,2500,Yes
2LP,Normal,270,1,None,0.8,0,0,0,1.2,1.2,324,324,300,250,Yes
2MP,Normal,500,1,None,1,0,0,0,1.2,1.2,600,600,600,1200,Yes
2HP,Normal,720,1,None,1,0,0,0,1.2,1.2,864,864,1000,2500,Yes
2LK,Normal,180,1,None,0.8,0,0,0,1.2,1.2,216,216,300,250,Yes
2MK,Normal,540,1,None,0.85,0,0,0,1.2,1.2,648,648,600,1200,Yes
2HK,Normal,810,1,None,1,0,0,0,1.2,1.2,972,972,1200,2500,Yes
8LP,Normal,270,1,None,1,0,0,0,1.2,1.2,324,324,300,500,Yes
8MP,Normal,450,1,None,1,0,0,0,1.2,1.2,540,540,500,1000,Yes
8HP,Normal,630,1,None,1,0,0,0,1.2,1.2,756,756,1000,2000,Yes
8LK,Normal,270,1,None,1,0,0,0,1.2,1.2,324,324,300,500,Yes
8MK,Normal,540,1,None,1,0,0,0,1.2,1.2,648,648,500,1000,Yes
8HK,Normal,630,1,None,1,0,0,0,1.2,1.2,756,756,1000,2000,Yes
9 > 2MP,Command Normal,540,1,None,1,0,0,0,1.2,1.2,648,648,500,1000,Yes
3MK,Command Normal,450,1,None,0.85,0,0,0,1.2,1.2,540,540,500,1000,Yes
4HK,Command Normal,720,1,None,0.75,0,0,0,1.2,1.2,864,864,1000,2500,Yes
6HK,Command Normal,720,1,None,0.8,0,0,0,1.2,1.2,864,864,800,3000,Yes
6HK > 8,Command Normal,720,1,None,0.8,0,0,0,1.2,1.2,864,864,800,3000,Yes
6HK > 9,Command Normal,720,1,None,0.8,0,0,0,1.2,1.2,864,864,800,3000,Yes
6HK > 7,Command Normal,720,1,None,0.8,0,0,0,1.2,1.2,864,864,800,3000,Yes
5LP > 5MP target combo,Target Combo,270,1,None,0.8,0,0,0,1.2,1.2,324,324,300,250,Yes
> 5MP (5LP > 5MP target combo),Target Combo,360,1,None,1,0,0,0,1.2,1.2,432,432,400,800,No
5LP > 5MP > 5HP target combo,Target Combo,270,1,None,0.8,0,0,0,1.2,1.2,324,324,300,250,Yes
> 5MP (5LP > 5MP > 5HP target combo),Target Combo,360,1,None,1,0,0,0,1.2,1.2,432,432,400,800,No
> 5HP (5LP > 5MP > 5HP target combo),Target Combo,440,1,None,1,0,0,0,1.2,1.2,528,528,700,1500,No
5LP > 5MP > 5HP > 5HK target combo,Target Combo,270,1,None,0.8,0,0,0,1.2,1.2,324,324,300,250,Yes
> 5MP (5LP > 5MP > 5HP > 5HK target combo),Target Combo,360,1,None,1,0,0,0,1.2,1.2,432,432,400,800,No
> 5HP (5LP > 5MP > 5HP > 5HK target combo),Target Combo,440,1,None,1,0,0,0,1.2,1.2,528,528,700,1500,No
