Move,Move type,Damage,Counts as (hits),Next hit,Scaling route,Next move scaling,Immediate scaling,Min scaling,Counter multiplier,Punish multiplier,Counter Hit,Punish Counter,Super gain,Drive gain,Visible?
5LP,Normal,350,1,None,0.8,0,0,0,1.2,1.2,420,420,300,250,Yes
5MP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,500,2000,Yes
5HP,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes
5LK,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
5MK,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,700,1500,Yes
5HK,Normal,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,3000,Yes
2LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
2MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,2000,Yes
2HP,Normal,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
2LK,Normal,200,1,None,0.8,0,0,0,1.2,1.2,240,240,300,250,Yes
2MK,Normal,500,1,None,0.8,0,0,0,1.2,1.2,600,600,600,1000,Yes
2HK,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,3000,Yes
8LP,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1000,Yes
8HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
8LK,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MK,Normal,500,1,None,1,0,0,0,1.2,1.2,600,600,500,1000,Yes
8HK,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
2HP (air),Command Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
3HP,Command Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes
4HP,Command Normal,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
6HP,Command Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,3000,Yes
8MP > 8MP target combo,Target Combo,700,1,>8MP (8MP > 8MP target combo),1,0,0,0,1.2,1.2,840,840,500,1000,Yes
>8MP (8MP > 8MP target combo),Target Combo,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1000,No
6HP > 5HP target combo,Target Combo,900,1,> 5HP (6HP > 5HP target combo),1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes
> 5HP (6HP > 5HP target combo),Target Combo,500,1,None,1,0,0,0,1.2,1.2,600,600,1000,2000,No
6HP > 5HP > 5HP target combo,Target Combo,900,1,> 5HP (6HP > 5HP > 5HP target combo),1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes
> 5HP (6HP > 5HP > 5HP target combo),Target Combo,500,1,> 5HP (6HP > 5HP > 5HP target combo end),1,0,0,0,1.2,1.2,600,600,1000,2000,No
> 5HP (6HP > 5HP > 5HP target combo end),Target Combo,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,No
214LP,Special,0,0,None,1,0,0,0,1.2,1.2,0,0,0,0,Yes
214MP,Special,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes
214HP,Special,1100,1,None,1,0,0,0,1.2,1.2,1320,1320,1000,2000,Yes
236LK,Special,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
236MK,Special,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes
236HK,Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
236LK Enhanced,Special,1000,2,None,0.8,0,0,0,1.2,1.2,1200,1200,1100,2000,Yes
236MK Enhanced,Special,1100,2,None,0.8,0,0,0,1.2,1.2,1320,1320,1100,2000,Yes
236HK Enhanced,Special,1200,2,None,0.8,0,0,0,1.2,1.2,1440,1440,1100,2000,Yes
623LP,Special,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes
623MP,Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
623HP,Special,1200,1,None,1,0,0,0,1.2,1.2,1440,1440,1000,2000,Yes
623LP Enhanced,Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1100,2000,Yes
623MP Enhanced,Special,1200,1,None,1,0,0,0,1.2,1.2,1440,1440,1100,2000,Yes
623HP Enhanced,Special,1400,1,None,1,0,0,0,1.2,1.2,1680,1680,1100,3000,Yes
