Move,Move type,Damage,Counts as (hits),Next hit,Scaling route,Next move scaling,Immediate scaling,Min scaling,Counter multiplier,Punish multiplier,Counter Hit,Punish Counter,Super gain,Drive gain,Visible?
5LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
5MP,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,500,1500,Yes
5HP,Normal,1000,1,None,0.8,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
5LK,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
5MK,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,700,2000,Yes
5HK,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,3000,Yes
2LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
2MP,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,500,1500,Yes
2HP,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes
2LK,Normal,200,1,None,0.8,0,0,0,1.2,1.2,240,240,300,250,Yes
2MK,Normal,500,1,None,0.8,0,0,0,1.2,1.2,600,600,500,1000,Yes
2HK,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,3000,Yes
8LP,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1000,Yes
8HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
8LK,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MK,Normal,500,1,None,1,0,0,0,1.2,1.2,600,600,500,1000,Yes
8HK,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
6HP,Command Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
4HK,Command Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,3000,Yes
3HK,Command Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,3000,Yes
8MP > 8MP target combo,Target Combo,700,1,> 8MP (8MP > 8MP target combo),1,0,0,0,1.2,1.2,840,840,500,1000,Yes
> 8MP (8MP > 8MP target combo),Target Combo,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1000,No
