Move,Move type,Damage,Counts as (hits),Next hit,Scaling route,Next move scaling,Immediate scaling,Min scaling,Counter multiplier,Punish multiplier,Counter Hit,Punish Counter,Super gain,Drive gain,Visible?
5LP,Normal,400,1,None,0.8,0,0,0,1.2,1.2,480,480,300,250,Yes
5MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1500,Yes
5HP,Normal,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
5HP (hold),Normal,1200,1,None,1,0,0,0,1.2,1.2,1440,1440,1000,3000,Yes
5LK,Normal,400,1,None,0.8,0,0,0,1.2,1.2,480,480,300,250,Yes
5MK,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,700,2000,Yes
5HK,Normal,1000,1,None,0.9,0,0,0,1.2,1.2,1200,1200,1000,3000,Yes
5HK (hold),Normal,1200,1,None,0.9,0,0,0,1.2,1.2,1440,1440,1000,3000,Yes
2LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
2MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1500,Yes
2HP,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2500,Yes
2HP (hold),Normal,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,3000,Yes
2LK,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
2MK,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,600,2000,Yes
2HK,Normal,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2500,Yes
2HK (hold),Normal,1200,1,None,1,0,0,0,1.2,1.2,1440,1440,1000,3000,Yes
8LP,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1000,Yes
8HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
8HP (hold),Normal,1500,1,None,1,0,0,0,1.2,1.2,1800,1800,1000,2000,Yes
8LK,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MK,Normal,500,1,None,1,0,0,0,1.2,1.2,600,600,500,1000,Yes
8HK,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
8HK (hold),Normal,1500,1,None,1,0,0,0,1.2,1.2,1800,1800,1000,2000,Yes
2HP (air),Command Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
2HP (air) (hold),Command Normal,1500,1,None,1,0,0,0,1.2,1.2,1800,1800,1000,2000,Yes
6MP,Command Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,500,1000,Yes
3HP,Command Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,500,1000,Yes
3HP (hold),Command Normal,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,500,1500,Yes
4HP,Command Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,500,2000,Yes
4HP (hold),Command Normal,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,500,2500,Yes
6HK,Command Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes
6HK (hold),Command Normal,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,3000,Yes
5LP > 5LP target combo,Target Combo,400,1,> 5LP (5LP > 5LP target combo),0.8,0,0,0,1.2,1.2,480,480,300,250,Yes
> 5LP (5LP > 5LP target combo),Target Combo,600,1,None,0.9,-0.05,0,0,1.2,1.2,720,720,1000,1000,No
5MP > 5MP target combo,Target Combo,700,1,> 5MP (5MP > 5MP target combo),1,0,0,0,1.2,1.2,840,840,500,1500,Yes
> 5MP (5MP > 5MP target combo),Target Combo,600,1,None,1,0,0,0,1.2,1.2,720,720,1000,1500,No
5HP > 5HP target combo,Target Combo,1000,1,> 5HP (5HP > 5HP target combo),1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
> 5HP (5HP > 5HP target combo),Target Combo,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,No
5HP (hold) > 5HP target combo,Target Combo,1200,1,> 5HP (5HP (hold) > 5HP target combo),1,0,0,0,1.2,1.2,1440,1440,1000,3000,Yes
> 5HP (5HP (hold) > 5HP target combo),Target Combo,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,No
6MP > 5HP target combo,Target Combo,800,1,> 5HP (6MP > 5HP target combo),1,0,0,0,1.2,1.2,960,960,500,1000,Yes
> 5HP (6MP > 5HP target combo),Target Combo,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,No
6MP > 5HK target combo,Target Combo,800,1,> 5HK (6MP > 5HK target combo),1,0,0,0,1.2,1.2,960,960,500,1000,Yes
> 5HK (6MP > 5HK target combo),Target Combo,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2500,No
3HP > 3HP target combo,Target Combo,900,1,> 3HP (3HP > 3HP target combo),1,0,0,0,1.2,1.2,1080,1080,500,1000,Yes
> 3HP (3HP > 3HP target combo),Target Combo,900,1,None,1,0,0,0,1.2,1.2,1080,1080,500,1000,No
3HP (hold) > 3HP target combo,Target Combo,1000,1,> 3HP (3HP (hold) > 3HP target combo),1,0,0,0,1.2,1.2,1200,1200,500,1500,Yes
