Move,Move type,Damage,Counts as (hits),Next hit,Scaling route,Next move scaling,Immediate scaling,Min scaling,Counter multiplier,Punish multiplier,Counter Hit,Punish Counter,Super gain,Drive gain,Visible?
5LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
5MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1500,Yes
5HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
5LK,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
5MK,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,700,2000,Yes
5HK,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,3000,Yes
2LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes
2MP,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,600,1500,Yes
2HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
2LK,Normal,200,1,None,0.8,0,0,0,1.2,1.2,240,240,300,250,Yes
2MK,Normal,500,1,None,0.8,0,0,0,1.2,1.2,600,600,500,1000,Yes
2HK,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,3000,Yes
8LP,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1000,Yes
8HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
8LK,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes
8MK,Normal,500,1,None,1,0,0,0,1.2,1.2,600,600,500,1000,Yes
8HK,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
6HP,Command Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
5MP > 5HP target combo,Target Combo,700,1,> 5HP (5MP > 5HP target combo),1,0,0,0,1.2,1.2,840,840,600,600,Yes
> 5HP (5MP > 5HP target combo),Target Combo,700,1,None,1,0,0,0,1.2,1.2,840,840,600,600,No
5MP > 5HK target combo,Target Combo,700,1,> 5HK (5MP > 5HK target combo),1,0,0,0,1.2,1.2,840,840,500,1500,Yes
> 5HK (5MP > 5HK target combo),Target Combo,600,2,None,0.8,0,0,0,1.2,1.2,720,720,500,500,No
5MP > 5HK > 5HK target combo,Target Combo,700,1,> 5HK (5MP > 5HK > 5HK target combo),1,0,0,0,1.2,1.2,840,840,500,1500,Yes
> 5HK (5MP > 5HK > 5HK target combo),Target Combo,600,1,> 5HK (5MP > 5HK > 5HK target combo end),1,0,0,0,1.2,1.2,720,720,500,500,No
> 5HK (5MP > 5HK > 5HK target combo end),Target Combo,2210,1,None,1,0,0,0,1.2,1.2,2652,2652,1750,2500,No
5MP > 5HK > 5HK (just frame) target combo,Target Combo,700,1,> 5HK (5MP > 5HK > 5HK (just frame) target combo),1,0,0,0,1.2,1.2,840,840,500,1500,Yes
> 5HK (5MP > 5HK > 5HK (just frame) target combo),Target Combo,600,1,> 5HK (5MP > 5HK > 5HK (just frame) target combo end),1,0,0,0,1.2,1.2,720,720,500,500,No
> 5HK (5MP > 5HK > 5HK (just frame) target combo end),Target Combo,1200,1,None,1,0,0,0,1.2,1.2,1440,1440,2250,3000,No
5MP > 5MK target combo,Target Combo,700,1,> 5MK (5MP > 5MK target combo),1,0,0,0,1.2,1.2,840,840,500,1500,Yes
> 5MK (5MP > 5MK target combo),Target Combo,400,1,None,1,0,0,0,1.2,1.2,480,480,400,1000,No
5MP > 5MK > 5MP target combo,Target Combo,700,1,> 5MK (5MP > 5MK > 5MP target combo),1,0,0,0,1.2,1.2,840,840,500,1500,Yes
> 5MK (5MP > 5MK > 5MP target combo),Target Combo,400,1,> 5MP (5MP > 5MK > 5MP target combo),1,0,0,0,1.2,1.2,480,480,400,1000,No
> 5MP (5MP > 5MK > 5MP target combo),Target Combo,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,1500,No
5MP > 5MK > 5MK target combo,Target Combo,700,1,> 5MK (5MP > 5MK > 5MP target combo),1,0,0,0,1.2,1.2,840,840,500,1500,Yes
> 5MK (5MP > 5MK > 5MP target combo),Target Combo,400,1,> 5MK (5MP > 5MK > 5MP target combo end),1,0,0,0,1.2,1.2,480,480,400,1000,No
> 5MK (5MP > 5MK > 5MP target combo end),Target Combo,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,1500,No
2MK > 2HK target combo,Target Combo,500,1,> 2HK (2MK > 2HK target combo),1,0,0,0,1.2,1.2,600,600,500,1000,Yes
> 2HK (2MK > 2HK target combo),Target Combo,500,2,None,1,0,0,0,1.2,1.2,600,600,300,500,No
236LP,Special,600,1,None,1,0,0,0,1.2,1.2,720,720,600,1000,Yes
236MP,Special,700,1,None,1,0,0,0,1.2,1.2,840,840,700,1000,Yes
236HP,Special,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,1500,Yes
214LP,Special,900,1,None,0.7,0,0,0,1.2,1.2,1080,1080,700,2000,Yes
